day,infected_can,recovered_can,deceased_can,infected_usa
0,7,0,0,12
10,8,0,0,48
20,46,0,0,200
30,426,0,4,8645
40,3766,230,24,113985
50,12513,2335,280,284031
60,18377,3616,1009,504255
70,26451,16425,2461,644533
80,30997,26993,4031,743860
90,32143,36895,5546,801970
100,34515,44651,6525,809871
110,34350,51739,7617,693112
120,30366,60272,8118,685702
130,28667,65091,8451,745465
140,27649,68990,8638,1002087
150,27518,72170,8761,1395356
160,5449,98873,8844,1685500
170,6340,101597,8909,1931629
180,4666,107553,8977,2052357
190,4711,111112,9035,2077313
200,5738,115050,9097,2050437
210,6896,120075,9132,1965644
220,10722,127788,9205,1898200
230,16142,138867,9423,1855339
240,19741,157486,9613,1899948
250,23926,177879,9844,2098456
260,29921,200052,10153,2427894
270,44836,226775,10711,3099089
280,54449,264049,11390,4060612
290,66671,309886,12248,4598458
300,72010,368474,13292,5318320
310,74382,431561,14328,5882853
320,73598,492277,15632,6407102
330,81175,568573,16965,6834602
340,65691,645729,18491,6907557
350,51818,705659,19891,6547174
360,38122,754736,20845,5454445
370,31774,789841,21460,4443918
380,30179,820450,21870,3533574
390,30701,850048,22217,2912188
400,35557,880159,22521,2634555
410,49450,915348,22800,2400546
420,73078,963395,23114,2367638
430,87595,1034533,23546,2410846
440,83305,1119279,24034,2270209
450,77836,1196819,24408,2091097
460,57834,1268989,24922,1687392
470,33677,1322282,25295,1448408
480,19207,1353148,25619,1158692
490,11732,1371000,25819,867303
500,7064,1381902,26037,767846
510,5401,1388438,26168,799152
520,4582,1393047,26243,993852
530,6426,1397451,26321,1487231
540,12006,1403357,26408,2594301
550,21780,1414266,26515,3250950
560,28439,1433095,26631,4368650
570,36947,1464861,26835,4900525
580,44280,1498488,27110,5136277
590,44403,1543328,27477,4788784
600,40811,1585972,27904,4287557
610,32267,1624084,28282,3616116
620,24981,1655282,28645,3116232
630,23880,1681698,28907,2745499
640,23317,1706554,29174,2664984
650,25422,1730548,29355,2656668
660,29796,1758979,29561,2983614
670,50562,1789631,29752,3190946
680,173946,1846910,29925,5018442
690,387093,2063334,30363,10254054
700,328249,2438302,31323,15293492
710,230364,2732228,32927,17888577
720,170708,2896117,34728,16688829
730,94390,2926278,35457,12753124
740,66642,2926278,36085,8242162
750,59360,2926278,36359,4826478